[04, 13, 16, 20, 26, 41]
[03, 11, 24, 37, 38, 40]
[04, 16, 23, 38, 40, 47]
[01, 06, 11, 16, 38, 40]
[20, 23, 26, 39, 41, 47]
[08, 17, 19, 25, 33, 46]
[02, 04, 08, 22, 25, 37]
[01, 03, 04, 24, 39, 44]
[09, 21, 30, 33, 35, 45]
[06, 07, 12, 15, 31, 44]
[01, 07, 10, 15, 36, 42]
[11, 12, 14, 40, 46, 48]
[12, 17, 18, 34, 40, 42]
[04, 06, 13, 22, 27, 28]
[17, 22, 23, 30, 37, 46]
[10, 29, 32, 40, 43, 48]
[01, 02, 06, 08, 24, 34]
[04, 11, 17, 23, 37, 46]
[12, 14, 21, 29, 30, 46]
[09, 10, 15, 24, 39, 46]
[13, 23, 30, 34, 37, 40]
[04, 07, 12, 13, 30, 48]
[04, 05, 10, 39, 46, 47]
[02, 16, 18, 25, 39, 45]
[06, 14, 18, 24, 26, 29]
[04, 05, 13, 16, 44, 46]
[03, 04, 05, 06, 10, 16]
[02, 11, 14, 37, 42, 45]
[15, 22, 31, 34, 40, 43]
[11, 14, 19, 24, 26, 41]
[02, 14, 30, 31, 39, 42]
[02, 12, 13, 23, 36, 46]
[08, 10, 18, 31, 39, 48]
[10, 22, 35, 39, 44, 47]
[09, 23, 26, 29, 32, 44]
[04, 09, 37, 39, 41, 47]
[13, 30, 31, 41, 44, 46]
[13, 14, 20, 35, 44, 48]
[08, 09, 16, 29, 33, 46]
[01, 12, 14, 37, 44, 49]
[06, 20, 28, 34, 44, 46]
[01, 08, 14, 16, 42, 48]
[02, 05, 10, 12, 16, 18]
[03, 14, 34, 38, 47, 49]
[02, 13, 14, 18, 45, 48]
[10, 11, 22, 29, 37, 48]
[06, 13, 21, 28, 33, 46]
[03, 07, 10, 23, 24, 25]
[19, 21, 22, 41, 42, 45]
[08, 09, 11, 21, 28, 45]
[02, 05, 06, 07, 23, 43]
[09, 24, 28, 32, 37, 42]
[02, 07, 12, 15, 46, 49]
[06, 12, 13, 17, 34, 48]
[02, 09, 20, 28, 34, 35]
[16, 22, 27, 29, 32, 33]
[10, 13, 24, 35, 37, 45]
[06, 11, 23, 31, 34, 44]
[02, 09, 13, 41, 48, 49]
[15, 17, 19, 36, 37, 43]
[03, 07, 34, 35, 43, 48]
[14, 16, 21, 30, 48, 49]
[07, 10, 17, 28, 44, 47]
[02, 20, 24, 25, 30, 41]
[08, 12, 14, 17, 29, 34]
[05, 14, 17, 39, 40, 41]
[01, 07, 09, 13, 30, 49]
[14, 21, 25, 31, 34, 39]
[01, 18, 28, 30, 39, 44]
[05, 07, 22, 23, 24, 27]
[07, 09, 31, 32, 47, 48]
[04, 13, 27, 38, 40, 42]
[02, 03, 21, 43, 45, 48]
[05, 18, 20, 29, 41, 44]
[05, 14, 25, 34, 41, 48]
[07, 17, 19, 36, 45, 48]
[05, 11, 28, 29, 37, 44]
[11, 13, 21, 25, 26, 36]
[19, 28, 31, 41, 48, 49]
[03, 14, 15, 24, 31, 44]
[06, 12, 15, 18, 34, 48]
[11, 12, 16, 22, 24, 25]
[02, 03, 05, 36, 38, 40]
[04, 11, 12, 28, 44, 49]
[07, 15, 24, 40, 45, 47]
[13, 23, 27, 36, 40, 41]
[01, 08, 11, 23, 34, 46]
[15, 17, 21, 25, 26, 47]
[19, 24, 37, 38, 42, 44]
[04, 13, 16, 21, 28, 35]
[15, 24, 29, 33, 38, 40]
[22, 24, 26, 28, 29, 37]
[10, 11, 19, 28, 30, 43]
[08, 17, 18, 19, 22, 24]
[10, 15, 36, 43, 44, 45]
[06, 08, 12, 21, 25, 26]
[02, 03, 27, 29, 42, 44]
[06, 15, 22, 26, 28, 48]
[10, 12, 25, 35, 41, 48]
[13, 15, 18, 19, 27, 46]
